Amateurish! 	业余水平！ 
Once you have children, you're tied down forever your life is over.	一旦你们有孩子了，你们就永远完了你的生活就完蛋了。
Yeah, all right. I'll see you later. 	是，好的。随后见。 
Science of library, information and archelloval.	藏书楼、情报与档案学。
Hey man it is an honor to meet you.	伙计，见到你太荣幸了。
How to settle this?	怎么解决呢？
Nice work! You caught the big one! 	你做的很棒！钓到一条大鱼！ 
So far, there has been no sign of such a spillover effect this time around.	到目前为止，还没有此类溢出效应的迹象。
Get them in. 	把他们弄进去。 
No, he's not. Would you like to call back for his voice mail?	不，他不在。你重打他的语音信箱留言好吗？
I just, uh... I realized, um...	我只是... 只是觉得，嗯...
I can see all of their faces, but somehow it is not enough. 	我能看见他们所有的面庞，但不知怎么还觉得不够。 
Luckily for those of us who already believed in such a thing as a unique gay male culture-indeed, for those of us who live in it-halperin plunged ahead, delivering a study that, though uneven as a piece of writing, is a deeply insightful intellectual exercise.	幸运的是对于我们这些相信有些行为属于“同志”文化的人来说我们的确生活在这种文化当中哈伯林埋头做出的研究，虽称作为一部文学作品不总是让人称赞，但却能给我们提供一个理性思考的机会。
While this version sounds different, it is mathematically the same as the one stated with pigeons and pigeonholes.	这一版本听起来（与前一版本）不同，但从数学意义上来说，是一致的。
How do you feel? Okay, I think. 	你觉得怎么样？非常好。 
Even in hip waders we were overdressed for the ankle deep creek, but we stepped in, waded out to the middle and faced upstream.	我们穿着长及臀部的水靴，对于齐踝深的小溪来说似乎有点虚张声势，于是我们走到水里，淌进了小溪中央。
Laundering's a dirty business.	洗钱是个肮脏的行业。
You will have the honor 	我给你这个荣幸 
This is really, really bad.	咱真的，真的闯祸了。
Lucky I give you a roof and a pillow, you worthless squib. 	我能养你给你个枕头睡你已经很幸运了，你这个没用的废物。 
Your friendship of our weakness.	对我们弱小友谊的质疑。
He missed out at the third round.	他在第三局中打输了。
The absent-minded student consents to the sentence in thepresence of me.	心不在焉的学生在我面前同意这份判决。
Unlicensed does not mean free.	无须授权不意味着免费。
But I also believe that people like you are extraordinarily rare.  	但我同样相信像你这样的人极其罕有。 
Whalers, follow me. Mr Hog, down below. Quickly now. 	捕鲸船员，跟我来。快点跟上来。 
You know, I would have just sent you the ring.	我真该把戒指寄给你。
Your problem is you're too adaptable. You're the adaptable enigma.	你的症结在于适应力太强。像谜一样让人费解。
Hey, if you don't want to go back to work, that's okay. 	嘿，如果你不想回去上班，没关系的。 
He is prominent in finance, steel, coal. 	在金融钢铁煤炭上，尤为突出。 
Let's talk about it after arriving. Where do you get these things from? Without names. 	我们到了再说吧。这些东西从哪弄来的？名字都没有。 
Could you humor me, inspector?	你能迁就我一下吗，调查员？
There. I helped.	我帮了你忙。
I got him, go.'B'!	我抓住他了，走啊。大黄蜂！
acrylic with Wilsonart 6277 Alumasteel laminate ( horizontal grain ) applied to face / edges painted MAP #41342 Brushed Aluminum Top Faceplate: 	亚克力材料，表面贴Wilsonart 6277 Alumsteel层压板（横纹），边缘涂MAP #41342拉丝铝  顶面板： 
buddy. Glad you showed up.	哥们很高兴你来了。
He has since sold a large block of his shares on the secondary market.	不过此后，他在二级市场上卖掉了很大一部分的股份。
Is made up have to find a girl that make my breath stop 	我要找个让我呼吸停止的女孩儿 
I said can't.	我说了不能。
That little incident in Iran showed me something.	伊朗发生的那个小事故让我知道。
So I gave her my best Quincy, 	我给了她法医能给的最大便利， 
Did you see anything last night? 	昨晚发现什么异常了吗？ 
Officials at MI6 are fully cooperating. 	军情六局官员正全力配合调查。 
Your folks will be fine, Deb. 	你家人没事啦，黛比。 
Get to the Plano! 	快去弹钢琴！ 
I behave myself and she doesn't leave me, 	我守规矩她就不离开我， 
I need my haloperidol.	我需要我的镇定药。
That was a statement. hit it! 	干得漂亮。快走吧！ 
Your secret's out. Maybe you will have to kill me, now, right? 	你泄露了秘密。也许你会杀了我，对不对？ 
You brought in rayfield's girlfriend.	你带来了雷菲尔德的女朋友。
The travelling troupe of the night. 	夜游剧团啊。 
A little old - fashioned. Left. 	有点不合时宜。去左边。 
No,  I just... I wanted to say I forgot your cell phone,	不，我只是... 我想说我忘了拿你的手机，
Our reaction to the crisis is as follows.	我们对此危机的对策是。
Uh - huh. Would you like some? 	嗯。想来点吗？ 
On first day, seer rhee would stamp a star on each of our collars. 	元旦那一天李监工会在我们每人的项圈上印一颗星星。 
So they dug them up to see why. 	所以他们挖起来一看究竟。 
And the number one rule for a successful dinner party?	一场成功的晚宴的首要规则？
Synthesis and fluorescent properties of bis ( benzimidazolyl) ethanediol and its complexes.	双苯并咪唑基乙二醇；配合物；合成；荧光物质。
You've been sent off the field too? 	你也被罚站了吗？ 
All right. Well, you better bring home a medal. 	好吧。好，你最好明天带枚勋章回来。 
Come on buddy. Had l been able to do it alone... 	好了，朋友。如果我自己能搞定的话…… 
If you see about half of your arch, you have the most common foot type and are considered a normal pronator.	如果你能看到约半个足弓，那么你是最普遍的足型，旋前肌也正常。
I was a Dick. I won't deny it. 	我承认我是个混球。 
Great. We sold the third yesterday. No sweat. 	很棒。我们昨天卖出第三架。毫不费力。 
The sky cells always break them. 	天牢总能让人屈服。 
Right, his intention is good for me. 	对，他也是为我好。 
Your girl is losing it. 	你女朋友疯了。 
I'mrying not to stepn Otoo many toes, but if I do, whoops.	我试着不要得罪其他人，如果不小心这么做了，那...
Put together, the total land mass is slightly smaller than california.	加在一起,总面积略小于加利福尼亚。
Would you mind having a look, doctor? 	医生，请你看一下好吗？ 
Look at the mess you have made.	看你搞患上乱蓬蓬的。
Uh, she scheduled a briefing with the city Council.	呃，她要在市议会上做一个汇报。
Such a society could use its own star as a gravitational lens, and even see the glow from our street lamps.	它们的社会可以用自己的恒星作为引力透镜，甚至可以看到我们街上路灯所发出的光芒。
Of course, to some extent we've always consumed media that appealed to our interests and avocations and ignored much of the rest.	当然，在某种程度上，我们总是消费媒体呼吁我们的兴趣和背景，而忽略了大部分的休息。
They examine all enterprises equally in accordance with the qualification of loanees.	它们按照贷款的条件对所有的企业一视同仁地加以审查。
He's your brother. He'll forgive you. 	他是你的弟弟会原谅你的。 
And that's what you have to be able to deal with if you 	如果你想和当今世界相关联的话 
I mean, your mom takes up all your time. 	你妈妈占用了你所有的时间。 
Look, if this is your way of trying to kick me out, 	如果你们就是想赶我走， 
One drink could be fun. 	喝点酒会更有意思。 
I left it for the man who killed my son to come back and get it.	我把它留给那个杀害我儿子的人回来拿。
Yeah, sure, if you work at the Pentagon. 	当然可以，如果你在五角大楼工作。 
So you said you're writing a research paper on theropod dinosaurs?	你只跟我说过你研究的是翼龙？
In economics and finance, however, universities struggle to get even a small budget to buy tick-by-tick data for one or two financial market instruments.	然而，在经济学和金融学领域，各大学甚至很难获得一笔较小的预算，用于购买一两种金融市场工具的实时数据。
We'll get involved in more capers in one deployment period than most cops see their entire career. 	我们一个调度期遇到的案子比大多数警察整个职业生涯遇到的还多。 
So you would have put the poison... 	所以你会把毒药… 
It is important to familiarize kids with paying taxes.	让孩子学会如何付税是很重要的。
Go to channel 10. The girls are on television!	看10频道。女孩们在电视上！
I thought you wanted to talk to me about something. 	我以为你要告诉我点事情呢。 
Qaddafi's unhinged narcissistic oddness seems to be the key to his longevity.	卡扎菲疯狂、自恋、怪异的作风似乎是他长久统治的秘诀。
The rest aimed high, didn't fire at all, 	其他都会瞄太高，或根本不开枪， 
Should not tamely submit to the unpredictable and ununderstood cycles of wars-psychiatry.	不屈服于不可预知和无法理解的战争循环--精神病学。
Hello. I want an extra - large pizza, 	你好。我想要一个超大份的皮萨， 
Northeast abalone stew, grouper bridge, cross the bridge mandarin fish, liao participation buckle rice, abalone buckle rice, green clams.	东北鲍炖,过桥石斑鱼,过桥桂鱼,辽参扣饭,鲍鱼扣饭,青蛤。
Outdoor lovers will delight in visiting Banff National Park, Canada's first national park. 	向进行户外活动的情侣可能喜欢参观班夫国家公园，加拿大第一个国家公园。 
No. He's definitely gay.	才不是。绝对是同
What? It's better if we take my car 	干嘛？还是开我的车去吧 
There's a particular sort of twitchy stiff arm	她的胳膊会突然地抽动一下
Stone - foot roosters in a fuck farm!	像他妈农场里的石头公鸡一样！
Russia now allows supplies to cross its territory to american and allied forces in afghanistan.	俄罗斯现在允许通过其领土向在阿富汗的美国和盟国军队运输补给。
Hello! Dice! You still there?	戴斯！你还在那儿吗？
So the rice. - yeah. 	所以你才用大米。- 对。 
I want to go!- you're being a girl! 	我要回家！- 你这是在撒娇！ 
Emei wushu bags medals in national wushu competition.	峨眉武术全国比赛获佳绩。
I'll wait at the bar. 	我去吧台等。 
Look, you spend your career upholding the standards of conduct, you're not gonna wind up with many friends. 	看，你要是整个的职业生涯都在尽忠职守，最终是得不到几个知心好友的。 
No, an officer spotted your car.	不是，一个警员发现了你的车。
By sparing his life... 	挽回他的性命... 
Okay, I ask.	好吧，我问一下。
You'll receive further instructions in Paris.	到了巴黎会有进一步指示的。
So servicers-the companies that collect payments on behalf of mortgage owners-have been foreclosing on many mortgages, seizing many homes.	这样，替抵押业主收取支付款的服务商一直在大量撤销抵押，没收了大量的房产。
Uh, this is a private number.	但，这是我的私人号码。
Damn! This sucks! Where's that son of a bitch at? 	他妈的！真该死！我要宰了那个混帐东西？ 
He's not looking for a path to salvation. He's looking for a path into her pants! 	他不是在寻找拯救灵魂的方法。而是在寻找和她上床的机会！ 
I'll get it, sir. Thanks.	我来吧，先生。谢谢。
Who talked me into a pink tie?	当时谁让我戴粉色领带的？
May serenity and spiritual peace... 	愿恬静和精神的安宁... 
Because after all those years of tearing her down, she has finally	因为在对她口诛笔伐那么多年之后，她总算成为一个
AII prisoners are to be reieased. 	所有的犯人立即释放。 
I would love for you to save your questions till the end. 	我更希望你到最好再问啊。 
Considerable intra - operative blood loss. 	在手术期间大量内失血。 
But the epicenter of the battle for the country has now moved to the capital.	然而该国这场战役的激战中心现在已经移向首都。
His argument is that the latter course lowers growth as it shrinks what really gives the economy its juice--job-creating, productivity-generating capital spending by america's businesses large and small.	他的观点是，后一种做法将降低经济增速，因为它削弱了经济的真正推动力，也就是规模各异的美国公司的资本支出，只有这种支出才能创造工作岗位，提高生产效率。
I can put on the other lamps.	我可以把别的灯也打开。
And since her body wasn't immersed in the river,	她的尸体没浸到河里因此没有变形，
You three are important enough.	你们三个就挺重要的。
For months, the ex-friend continued to try to contact her.	几个月来，这位前好友不断试着跟她联系。
She sat there with that sad, pathetic look on her face. 	她坐在那一副孤苦伶仃的样子。 
With colleagues, customers, anyone?	或者任何人有纠纷吗？
Hey! Say that you love to fuck in English. 	嘿！用英语说你喜欢做爱。 
Do ya? I want her out of here. 	想知道？那你先放她走。 
Oh, what a beautiful bell. Who's it from?	好漂亮的铃铛。谁送的？
How many times I've passed bells ringing. 	多少次我经过叮叮作响的门铃。 
boom! I know - But Mr -  	我知道，就会爆炸嘛 - 不过 -  
Well, sir, I enjoyed the role. 	哦，先生，我喜欢这个角色。 
Join my facebook and plurk!	加入我的脸书和噗浪吧！
Ladies and gentleman, Michelle McNally	女士们先生们，蜜雪儿麦克纳利
There are hints that they could have been using them for 	有迹象表明他们也可能用此 
Let's get out of here. Damn suit.	我们走吧。真脏。
Certainly not! We are as anxious as you to keep him locked up.	当然没有！我们也和你一样焦虑。
It's amazing that he survived a beating like this.	打成这样还能活下来真不简单。
Alone and unarmed, and asking questions about a murderer.	孤身一人赤手空拳去询问谋杀犯的事。
We have that for a long time. 	很早就有了。 
Block cards per user group per section 	各部门各团体各用户的个人卡 
Yeah, but your still the maid of honor, right Tom?	好啦，但你还是首席伴娘，对吧汤姆。
Meal does not speak a lot about food, did not chew, the sound does not drink, do not pick more food plate.	吃饭时讲究食不满口，嚼不出声，喝不作响，拣食不越盘。
Uh, hey, how tall are you, anyway?	呃，嘿，反正，你有多高啊？
Linking parabolas in international exchange: colloquium on curatorship 2004.	国际交流的抛物线连结:2004。
That doesn't mean he's got to go to jail. The roads, we're all in on that. 	又不是说他要进监狱。我们都是一条道上的。 
Like they'd have you believe in this book. 	在这本书里看到的那么美好。 
I don't get some decent shut - eye tonight. 	今晚如果我睡的不踏实。 
In the 1990s, I went to take a look at amorim in portugal, the world's pre-eminent cork supplier.	上世纪90年代，我曾去葡萄牙参观全球卓著的软木塞供应商阿莫里姆（amorim）。
Researchers are using this new perspective to examine how past societies managed to cope--or failed to cope--with prolonged and severe climate events, events without equal in modem times.	研究人员正利用这一新的观点来考察过去的社会是如何解决，或者是未能解决这些持续时间长、为严重的气候事件的。这些事件在现代还绝无仅有。
You were just too out of it to know I was here.	你只是头脑不清醒没意识到我来过。
I blamed her. 	我把抱怨撒在了她身上。 
I came up with the film title!	我想到电影题目了！
The most powerful pressure on mr assad so far, however, has been from al jazeera's arabic coverage, which encouraged syrians to take control of their own destiny.	不过，阿萨德到目前为止面临的最大压力，是半岛电视台(al-jazeera)在阿拉伯世界的影响力，它鼓励叙利亚人掌握自己的命运。
But I see him winging on his way my flyaway bird named yesterday.	但我看到他在路上我的鸟翼状弗亚韦昨天命名。
Yeah, I'm into pizza. 	是啊，我爱比萨。 
And one and two, three.	一二三。
We are treating that incident with the highest priority.	我们对这件事是以最高优先级处理的。
The tuna run was over and there were few boats at the island now.	金枪鱼的汛期已经过去，留在岛上的船只业已不多。
Broke through his firewall. 	突破了他的防火墙。 
Against all instincts of what sanity sounds like, 	我都觉得自己疯了， 
Which one? - the flathead. 	哪个？- 扁平的那个。 
How many children get involved with the traffic and die because of marijuana and coke, okay?	有多少孩子为了大麻和可卡因卷入犯罪，甚至丧命？
Take it. Go! It's more important than I am. 	带上它。快走！这比我的生命重要多了。 
I mean, all rocks are a tangible representation of the awe - inspiring passage of time 	所有的石块都清晰地代表着华丽丽流逝的时间 
Are you gonna sing when I hit you? 	我砸你的时候你会唱歌吗？ 
Soon as they open that door, it's all over. 	他们一开门，就会没命。 
I should've remembered.	我应该记着的。
You know, I know about farming.	你知道，我会干农活。
Thursday morning, 10:00. 	星期四上午，10:00. 
One on either long side of the oval, 	在椭圆竞技场的两个长边各有一个， 
Just choose such friends carefully.	要小心地选择自己的朋友。
But over time the latter has consistently been revised up, suggesting that any overstatement is modest.	但是后者也已经随时间持续上调，说明任何夸大都不为过。
What makes you think it's the right car? 	你凭什么认为就是这辆车呢？ 
don't try to protect me. They're not going to kill us. 	别老是想保护我。他们不会杀我们。 
They think they're being haunted. By what? 	就像是有什么阴魂不散。什么？ 
Oh... Is that what you thought? 	噢…你这样想么？ 
Having me talk to her was your plan the whole time, wasn't it? 	你就是计划让我和她谈话对么？ 
You could have triple-checked the information.	你可以再三核实一下资料。
And in two days, that will be rectified. 	两天后，就可以调过来了。 
I mean, if you're planning it, why not just the one? 	如果你是计划好的，为什么不是一根呢？ 
Let's check every Trinity city for missing ten - year - olds. 	去所有三一做过案的城市找找10岁失踪男童。 
So - let's - make - a - funeral - an - excuse for - a - big - sloppy - party deals. 	所以”我们应该举行个葬礼仪式" 等等。 
Infrastructure bottlenecks, congested ports and freak weather have held back its exports even as demand for coal, driven by the energy and manufacturing requirements of china and other fast-expanding economies, has never been higher.	目前，在中国及其它增长迅速经济体的能源和制造业需求推动下，全球煤炭需求前所未有地高涨。
Mind your fucking panel!	注意你自己的控制仪板！
Luggage cart, available on ground floor 	地面层提供行李车 
Yes, it's playing at the traitor. I'll take you both. 	是的，在里奧托上映。我帶你們倆去。 
When I came on board as a young man, 	我初到这里时还很年轻， 
It's been a while!	一会儿就行了。
Why would you be scared? I don't know.	你担心什么呀？我不知道。
What I want... What I want... What I need is your help.	我只想... 我只想... 我只想你帮帮我。
Of all the things he could give to me... 	凭借他所能给予我的所有... 
He took away my phone, my computer 	他没收了我的手机电脑 
The losing tribe goes to tribal Council where somebody from your tribe 	失败部落要参加部落大会 
Even I didn't expect that. Here, have some sweets. 	我也是没有想到阿吃点点心。 
Do you have my key? Yeah, I'm not giving it...	你拿了钥匙了？是啊，我不会给…
Of warfare practiced by native American tribes.	战争宗教仪式罢了。
I firmly believed that the sec investigation would turn up 	我坚信证交会的调查能够证明 
Like the mysterious black hole.	神秘的黑洞。
Pete? He's kind of a protege of yours, what do you think?	彼得，他是你的高徒，你认为呢？
But many of the student leaders appear articulate and reasonable.	但很多学生领导讲起话来振振有词、头头是道。
Okay, the explosion must've dislodged the ship from the ice.	一定是爆炸使船开始移动了。
My new girlfriend is very tidy.	我的新女友很爱干净。
You got canker sores?	你得了口腔溃疡？
My car's in the shop, and I promised your star point guard I'd be there	我的车在修，我向控球后卫保证过我一定到
I know it, I feel he's already on the way. 	我知道，我感觉他已经上路。 
Look, I told them all this years ago. 	看吧，我在几年前不是说过了。 
So optimistic. 	如此乐观。 
I do. There's a hidden exit from the tunnels.	我相信- 密道里有个隐秘的出口。
She sang the song while she walked to school.	她步行上学时一起码唱着那首歌曲。
After what she pulled off, I hope she got a win bonus. 	凭她的成绩，我希望她得到好好的奖励。 
And I thought you should explain.	我想应该由你来解释。
I helped secure the funding	我帮这部剧
Not only does this give the product line a more uniform look, it also takes care of minor design quibbles.	它不仅让整个系列产品看起来更加统一，还关注了微小的设计细节。
What will yours be? 	想想你的那条将会是怎样？ 
Yeah, and it was weird. He said he was really excited and so he came early.	听着，别扭他说。他非常兴奋就提前来了。
I didn't ask for your opinion. 	我没问你的意见。 
We will restore her to health but it may take time.	我们会让她恢复健康，但可能需要一些时间。
Free high-speed Internet access in the lobby, Monday through Saturday 8:00 a.m. to 8:00 p.m., Sunday 8:00 a.m. to 2:00 p.m. 	大堂免费高速互联网服务时间：星期一至星期六：上午8:00至晚上8:00/星期天：上午8:00到下午2:00。 
Lord, some things never change. 	上帝，有些东西还真就变不了。 
So don't let that stand in the way 	别让这个成为我们 
He did, he told me! Hush.	他说的，爸爸告诉我的！嘘。
No. Why? What's going on? 	没有的。怎么了？有什么事？ 
And worked his whole life so that I could go to school. 	他一辈子干活，只为我能上学。 
Friends are gonna be there, so... 	我们的朋友们都会来，所以…… 
Come on. We have to find Kenai. 	快。我们得去找基奈。 
16 seconds of screen time. 	化成屏幕上短短的十六秒。 
Within a few weeks he'll be a good as new.	几周之内他就会完全痊愈。
They're not dead? I thought they were dead!	他们没死？我以为他们都死了！
Who does she know that might have reason to do this? 	她认识的人里面谁有理由做这种事？ 
I mean, I saw the van. She's full - on nuts. 	我是说，我见到病院的车了她是彻头彻尾的疯子。 
She tastes like home maple syrup. 	她的感觉就像枫蜜浆 
Look, that stadium.	体育馆的事。
Vascular imaging: assessing tumor vascularity in breast neoplasms.	乳腺肿瘤血管影像评价方法。
It's now felt that it was because of paracelsus that people began applying chemistry to medicine.	现在普遍认为，早期的医学开始用化学品制造医药品治病，是巴拉塞尔的功劳。
Not a worry. I'll be right here. I'm not going anywhere. 	别担心。我就呆在这里。我哪也不去。 
Conclusion... 	所以说…。 
She could have been charged as an accessory. 	她就可能被指控为同谋。 
So this is the part where you tell me, it's ridiculous. 	你还跟我说， 真荒谬，。 
You're wondering if it's worth it?	你在想它值不值得吗？
You know, father Salizar, the house was re-stuccoed	你知道，塞勒扎神父，我搬进来之前
But if there's any support that I can give you, 	但是如果我能给你些支持， 
What do you mean, fucked? Jail fucked, motherfucker. 	你什么意思，完了？坐监狱就这样。 
I can't hear! Lousy mobile! 	我听不到呀！你的电话接收的不好！ 
You lied to us, pal. 	你骗了我们朋友。 
I mean, think about it.	你们仔细想想。
Actually, I just broke up too. 	实际上，我也刚刚分手。 
Well, it really doesn'tmatter now, does it?	好吧，现在还有什么关系呢，是不是？
But vast areas are still being slashed, mostly in the tropics, including each year a switzerland-size area of previously undisturbed, ecologically precious "primary" forest.	但是仍有广袤的地区被削减了，这主要集中在热带地区，包括了每年瑞士大小的，之前未受干扰，生态珍贵的“主要”森林区域。
Yoshitaka morinaga, head of a chinese plant run by nichicon, a leading japanese maker of capacitors, says that in his industry at least the impact of higher wages has been minimal.	日本主要电容器生产商尼吉康（nichicon）在华一家工厂的主管森永芳孝（yoshitaka morinaga）表示，至少对于他所在的行业来说，工资上涨的影响微乎其微。
I have the strangest feeling I've met you before. 	我就是想不起来在哪儿见过你。 
I got an a on every paper, and like jill vernon, the teacher would keep me after class and encourage me to write more.	每一篇文章我的得分都是a，而且我也喜欢吉尔弗农，这位老师会在课后留下我鼓励我多进行写作。
On a property in Toluca lake? 	托卢卡湖边的那处房产了吗？ 
Lt used to be 180, how is that possible?	以前是180，怎麽会变低？
It's over with Emilie. Now she's with Mr cell phone. 	她说跟我已经完了。她现在和那个卖手机的小子。 
Hold on. He raped her? - yeah. 	什么她被强暴了？- 对。 
Using the tools of monetary policy to achieve financial stability ( other than lender-of-last-resort actions) weakens the effectiveness of monetary policy for its primary role to maintain price stability.	运用货币政策工具来实现财政稳定（不是最终贷款人措施）削弱了货币政策作为最初用于维持价格稳定角色的影响。
Must leave this investigation to those who can pursue it 	必须把这个案子留给那些 
And as I say, having held out my hand to you,	我说了，既然许诺要照应你，
You know, I don't know the guy, 	你知道，我并不认识他， 
God, that man makes me so fucking horny. I don't know what it is. 	天呐，那小子说得我欲火焚身。我可熬不住了。 
Scenery of Changfeng Town in China's Anhui	中国安徽省长丰县的景色
I shouldn't have blamed them.	我真是错怪他们了。
Londoneye 2003-Child GRP 10 	提供一份伦敦眼2003年成人10人集体票。 
Do you know a man named Stanley mar? 	你认识一个叫斯坦利麻的人吗？ 
I'm impressed. Absolutely right. 	印象深刻。太对了。 
Tested at the navy's dahlgren surface warfare center in virginia, the futuristic weapon uses powerful jolts of electric current to propel a non-explosive slug along rails before launching it at supersonic velocities.	这种充满未来气息的武器测试地点位于弗吉尼亚的水面作战中心达尔格伦分部以强力的电流震荡驱动一个非爆炸性的金属块，使其在轨道中达到超音速。
Can l give you a phone number for some people who can help... 	干脆我给你个号码打这个电话可以找人帮助你...  
She's going to have to get it from him. 	她就不得不从他那里获得。 
Look, leaning on a guy who's already squeezed	听我说，我也不愿意干这种
Oh, you poor thing. Uh, could you not? 	噢，你真可怜。呃，你能不能不那样？ 
A similar low dose treatment regime is recommended for patients with angina, a history of heart problems or who have undergone coronary by pass surgery.	医生也建议有心绞痛、心脏病史或做过冠状手术的人使用类似的剂量治疗。
That's not the same thing at all. 	但完全不是针对同一个问题。 
For me, you will repeat it.	在我面前你得重复。
If they get a clean shot, 	如果他们有机会， 
He's playing the flute  	他在一边吹长笛 
All right, you idiots. You happy now? 	你们两个傻冒。现在高兴了？ 
Oh, come on! You're a filth wizard. 	哦，别说了！你这个恶心的男人... 
Goodness is the eternal pursuit of people.	真善美是人类的永恒追求。
There you go again, Irving. 	你又来了，艾文。 
Look, I just really need this job.	听着，我真的很需要这份工作。
You didn't to dress up in that stupid red suit	穿着愚蠢的红色套装
Well, then I think maybe we should try 	呃，那我想我们也许得 
A machine you know is going to work, no questions, job done.	一台完美完成工作让你毫无后顾之忧的机器。
I've never been to Iraq. 	我从未去过伊拉克。 
I've had any feelings for since you. 	我来电的第一个女孩。 
In the new capital, naypyidaw, miss suu kyi had to address supporters out in the fields because she was denied access to some of the largest indoor halls in asia.	在内比都，昂山素季被迫在空地上对支持者发表演说，因为不允许她进入亚洲几个最大的内厅。
With a plea, you could be out in three years. 	如果我们认罪你可以只坐三年牢。 
Banks could open branches anywhere.	银行可以随处设立分行。
A woman milks a mare in the village of kogershin in southern kazakhstan.	哈萨克斯坦南部的kogershin村庄里，一名妇女在给一匹母马挤奶。
Normal. Of course, he talks differently.	当然一样，但他的谈吐不同
We're gonna lay here together. 	我们一起在这儿躺会儿。 
Look, I've never done this before, so you're gonna have to help me out. 	我从来没有这样做过，所以你要帮我。 
No, no, no. Please don't. I haven't had sex in a really long time.	不，不，没有。请不要。我还没有在很长一段时间的性别。
For breakfast enjoy tasty hot waffles, fresh fruit, tea, pastries and more. 	您可以享用我们的早餐，包含美味可口的热华夫饼、新鲜水果、茶、糕点等等。 
Fifty years have elapsed since soviet cosmonaut yuri gagarin lit the blue touchpaper on the era of manned spaceflight. Progress was rapid-only eight years separated gagarin's flight from the infinitely more complicated mission that put neil armstrong and buzz aldrin on the surface of the moon in 1969.	自苏联宇航员加加林点燃航空飞行时代的引火线，五十年已过，人类航空事业进步飞速加加林之行离1969年阿姆斯特朗和奥尔德林更为复杂的登月之旅仅隔8年。
I would love to help you guys out.	我很想帮助你们。
He's already offered to take haIf of my shifts next week. 	他下周已经顶了我一半的班。 
I mean, I made one little mistake. 	我不过是犯了点小错误。 
And having no further concern.	一无牵挂的他。
MAMMA MIA and Zaziki Child until 12 years, aperitif (Ouzo), 1 Greek 3-course menu, 1 musical ticket MAMMA MIA (cat. 	提供《妈妈咪呀！ 》和Zaziki的12岁以下儿童票—开胃酒（茴香烈酒）、一份希腊式三道主菜套餐；一张音乐剧票《妈妈咪呀！ 》（2种） 
Is that such a crime? Unbelievable.	算犯罪吗？难以置信。
But I cannot help you if you're going to start all of this again. 	但是如果你想重新开始这一切我不能帮你。 
I want you to fall on your sword for me. 	我要你替我挡剑而亡。 
Joining us is the woman who was actually attacked	在我旁边的就是当事人
Uh, check your e-mail. 	呃，查查你的电子邮件。 
Article 253 where the insured waives his right of claim against the third person without the consent of the insurer or the insurer is unable to exercise the right of recourse due to the fault of the insured, the insurer may make a corresponding reduction from the amount of indemnity.	第二百五十三条被保险人未经保险人同意放弃向第三人要求赔偿的权利，或者由于过失致使保险人不能行使追偿权利的，保险人可以相应扣减保险赔偿。
I'm not ready to introduce to anyone just yet. 	只是暂时没想把你昭告天下。 
Chances are you end up alone. 	反正多半还是落得孤身一人。 
You have to detach yourself from everything you see. Don't let your emotions cloud your judgment. 	你得记得别将自己代入别让情感影响了你的判断。 
Relative research shows "when employee feel satisfied, they will have positive contribution and lower resign rate in enterprise." As well, employee's factor will affect the acknowledge of employee's satisfaction trend.	相关研究指出当员工工作感到满足后，会对组织有正面的贡献，会有较低之职离率，且员工之个人属性变项亦会影响员工对工作满足倾向的认知。
But called me names and words like "tasty"... 	但居然冲我嚷嚷些“够味儿”…… 
You don't leave for personal time in the middle of an op again.	任务中间不能因为私事离开下不为例。
Drag onto the page, then right-click to specify number of globes.	拖到绘图页上，然后右击可指定球形灯的数目。
Who's Carrie? - two nights ago! 	卡丽是谁？- 两天前那个！ 
No, this is caramelized. No. sweat. Sweat, okay?	不这是熔化的不是压榨的明白吗？
This new currency's value would be determined by a basket of widely traded currencies, basically hedging against the risk inherent in any one currency.	这种新货币的价值将由一篮子交易频繁的货币决定，基本上避免了任何单一货币内生的风险。
Why haven't you talked about the border patrol budget before? 	为什么你以前从来没有提起过关于边境的预算呢？ 
To many on the outside, life as a tenured faculty member conjures up images of dreamy afternoons spent theorizing at one's desk, interspersed with occasional trips to the lab to hold up test tubes to the light.	对许多外界人士来说，一个终身教职员的生活让人想起的是这样一幅图像：在自己的办公桌上做理论工作的怡然下午，偶尔点缀着去实验室的小旅程，举着试管凑向灯光。
Can ppl please chop this villager!	脂肪可以请这个印章村民!
So I just have to pick one? 	所以我只要选一个就行了？ 
Her character's the wife of a musician, and, like,	她的角色是音乐家的太太，
He's in some pain and the medication makes him drift away. He's in and out.	他身处痛苦之中药力令他有些恍惚。时醒时睡。
All right, son! He said he meant no disrespect.	别这样，孩子，大家都要维持生计的。
Oh, hello, Mrs Henderson. This is Ann. 	噢，你好，汉德森太太。我是安妮。 
Eat 'em up, fellas. Give me some.	吃吧，伙计们。你也要？
Shuttleworth may argue now that ubuntu's implementation will be far more sophisticated than what apple uses on the iphone, a touch language that could resemble computing commands in their complexity.	沙特尔沃思（shuttleworth）现在可以说ubuntu的软件安装过程比苹果应用在iphone上的复杂得多，苹果的触控语言即类似于他们的复杂运算指令。
Ah, well, so much for the sex part.	啊，好吧，性方面的作用很明显。
Well, I shouldn't have done that.	好吧，我不该打你。
Six men died to bring it here... 	为了把它从埃及搬到这里... 
