上联 下联
马蹄有韵分平仄 雁语多情传古今
细雨临门风赠送 寒霜湿履雁携来
不是清闲，烦恼三千成觉悟 更生智慧，慈悲一点化祥和
艳蕊迎风笑春色 青梅煮酒论英雄
岸畔洲如月 天边树似绝
直言相谏何妨死 据理抗争不想活
寄目白云知倦鸟 传音沧海引归帆
执文害意陷空洞 卜卦求签拜半仙
为祛秋寒枫点火 因嫌夜静月提壶
龙人臻万福 骏业炳千秋
人只此人，不入圣，便作狂，中间难立脚 学须就学，昨既过，今又待，何日始回头
九歌抛米粽 一醉淡红尘
宏图美景，文明社会 绿树红楼，幸福人家
雅兴共寻方外乐 香台岂是世中情
中秋夜泛，明月入怀心若水 重九登高，清风满袖意如山
飞花满院春归去 落絮盈坡夏到来
且行且远 能屈能伸
器利曾强大楚 兵精可作长城
商业潮中，谁称银邑无双地 状元桥畔，我占春风第一枝
坐井观天针眼大 掩耳盗铃犬声轻
不以物悲，钱如烫手须丢手 莫为己甚，事若临头当出头
香留淡墨梅含笑 水生轻痕风已流
秋风换了花残落 细雨轻沾景愈新
百余战追镫随鞭，磨盾有光，曾奋秃毫扫强虏 二十载感恩知己，弹琴无状，只存廉石报将军
钟鸣蒙正饿 弦断子期何
开窗请进一山景 展扇邀来四季风
秋愁未破词填尽 春怨还盈曲不休
风潜书室思偷雅 雪赴梅林欲染香
马蹄声急关中月 画角啸哀塞外风
几度秋风山水瘦 重回春梦草花娇
韵逐莺啼，四季和风梳柳岸 波随鹭舞，三河碧水挽春城
金鼠闹春，光辉业里宏图展 福娃贺岁，奥运梦中圣火红
梨苑风回，抖落一肩香雪 枫桥月隐，忽鸣数响古钟
悬浮动感城，溪流庭院清凉界 自行斜坡道，影像舞台妩媚风
槛外梅开新驸马 空中月落老牵牛
篱锁一园碧 云开两岸晴
神六天歌遨 兰舟水逆行
水平桶里常常见 人静夜中细细听
留客胜看竹 乐天仍对花
肚底 胸中
八年抗战，戮力同心驱倭寇 七秩和平，满腔热血颂英雄
文章换 星月辉
紫闼重开序 丹墀共拜嘉
勤修苦练方成器 缜密周祥必有才
援朝抗美，挂甲种田，治平皆见英雄胆 书上庐山，魂归乌石，荣辱不惊赤子心
青衫磊落江湖梦 红袖翩跹水月魂
万马奔腾，千里马酬千里志 百花竞放，满庭花艳满庭芳
懒营遭鬼笑 好酒为谁留
人居尘世耳难静 心有灵犀一点通
青梅竹马小生意 一介草民更动情
全民扬正气 举国颂清平
诸父偕文正，翊运中兴，贱子无能惭宝树 天下传使者，折冲绝国，大才何止裕金轺
七曜灿珠囊，荣镜宇宙 万年绵宝录，和撰升恒
海自依城，闻长五百里 樽常对月，时共两三人
风飏檀烟消篆印 露将花影到衣裳
雪润桃源，自有花香温好梦 春回古镇，岂无酒醉过新年
胜地春风扑面来，看福在山巅，鹰扬天下 铜都骏业干云起，趁梦圆中国，马跃东川
锅碗瓢盆常磕碰 弟兄姐妹永相帮
龙人嘉誉，笑纳三江雅客 海阁名厨，赢来四方佳宾
鸢飞鱼跃山河美 燕语莺啼天地春
放浪江湖琴一曲 存情岁月墨千行
不肯低头在草莽 自知醉耳爱松风
输一盘，未必成王败寇 退半步，自然海阔天高
折得梅花春在手 寄成江左绿盈枝
时泰岁丰无事日 月圆花好一般春
神州安泰黎民福 骏马奔腾盛世春
万版报刊呈锦绣 五旬风雨铸辉煌
万事随缘缘无我 一心向善善做人
德行有颜子曾子 开辟于天皇地皇
凭栏满目伤秋柳 回首几多过眼云
天高小囿一鸣鹿 日夕嘉树来归禽
色难终受老公怨 酒好无须巷子深
一介弱女，造福黎民，逝后四海八疆尊称妈祖 万族尘寰，隆享鼎盛，长活千山百岳就是神仙
参拈花妙缔 修饲虎真身
卅载兴联，传薪播火辉煌史 两行逐梦，起凤腾龙锦绣程
千重树色连沧海 一片湖光接翠微
薄酒三杯，清茶一盏敬群友 醉心四季，浓情八方祝好人
善政能官，彰扬青史 保邦化俗，标映南天
休戚由人，贵尚出言先戒怒 兴衰在路，当知举步慎防歧
桃李无言，下成径路 青春不再，惜取分阴
软硬境 单相思
心灵似玉无荒漠 保险如泉有绿洲
直汝廊腰，凸其檐角，历春秋，尤思古德 放斯飞蠲，度彼牵牛，穿云水，当慨神功
纵许轻狂，论天下诗才，我辈只容争二斗 何言孤寂？对碑前湖水，斯人相伴足千秋
大业辉煌，更喜中秋尽美 神州锦绣，犹期明日三通
现在马路不走马 以前牛市没有牛
要待郎归闲倚柳 方期女嫁曼拈花
忠厚待人，诗书娱我 春风满目，瑞气一堂
行不论古今，诚为大道 业精于勤勉，光灿人生
飞花惊月梦 疏影泣尘心
晴霏绛雪分吟笔 合有红云捧研池
冠明前与雨前，凝霞浦芬芳，万象争新夸上品 融道味同禅味，馥炎黄气韵，五洲载誉赞元宵
一卷清词尘不染 两行浊泪腹辛酸
伤心当此日 会面是何年
梅吐流苏帐 椒浮合卺盅
斑竹失嫣雨 夏荷举碧天
烈酒争同豪士饮 乡音喜与故人听
系承姜尚 源出扶风
谁在云头悬色胆 君于月下动花心
炎陵览胜景 酃县留芬芳
读书明事理 无疆长精神
芳馥八闽桐木谷 红遍天下正山堂
宝鼎灿辽西，古利州蕴秀藏珍，富水饶山，四处人文凝厚重 明珠辉塞外，新喀左团花簇锦，蒙哥汉姊，五旬岁月长精神
半日校 通霄窗
东去大江无反顾 原来好梦有非常
大德大勇大智 高论高才高风
对月弹琴谁与共 单刀赴会羽称雄
白羊款步留硕迹 金猴迅臂启华章
知止自能除妄想 安贫须要禁奢心
西晋东晋分两晋，晋走晋易 南越北越合一越，越来越穷
西波白日东波水 空里浮花梦里身
守望不曾嫌月冷 怜惜何必惹花烦
龙腾五洋从此始 凤翔九天永无终
和谐运笔春风劲 科技兴农大地欢
勒马立吴山，翻为白雁南来，阅青史兴亡，终看宋祚成元运 调兵渡辽水，纵使金乌西坠，当碧涛起伏，犹听千营共一呼
合将正义还天地 是以大勋于古今
君曾海内存知己 谁在阁中飞落霞
春风入笔桃笺润 秋月临窗雁阵横
梵宫数院临黑水 古木千章盖碧阴
和风执燕剪 暴雨抽马鞭
背井离乡能负重 吃香喝辣久吞愁
志在扶贫兴社稷 坚清腐败洁中华
傲立世间，只凭诗有骨 闲游山水，唯借酒怡情
明心见性，继先辈大医精诚贤者 悬壸济世，称当代上工治未方家
立于极顶观全貌 乐在天涯战恶风
月步竹阶拖瘦影 风鸣山谷甩长音
草圣仙游书玉阙 诗翁诒赴咏蓬莱
惓向繁都谋富贵 甘于野菜佐餐茶
天道何公？宏图未展摧梁柱 神魂犹在，勤俭传承壮族风
海纳百川容乃大 陆行千里始于思
木以精雕，刻就辉煌中国梦 布凭巧剪，裁成烂漫卓山春
潜海巡天，龙裔梦圆中国月 震今烁古，马球图展大唐风
闲看月下莲花净 醉赏庭中竹叶青
雕鹗腾空犹逞俊 圣贤传法不离真
网易断线百度补 软件漏洞木马攻
扁鹊献方，华佗济世，莅临塞北多医擘 杏林引凤，橘井腾龙，崛起山城一药都
秀美青山裁瀑布 清纯绿水起微波
勤俭创业家声振 慎独荣身四海行
若使江流会人意 莫辞云水入庐峰
柳月湖中梳倩影 清荷水下摆柔姿
穿肠不过一回事 解闷才知少那人
协力同心，众举赤旗征极地 迎风冒雪，一登屋脊站高峰
好友 良朋
他山景致画图里 此地楼台烟雨中
老友相逢话题远 新年际遇美事多
梅香挥雪袖 月色入诗怀
春风化雨恩浩荡 身教名传德崇隆
宝驹追富梦 春色驻神州
地处南溟，崖州自古荒凉，端赖逐臣谪相，来辟蛮烟留雅化 时逢新纪，海曲得天独厚，悠游碧浪金沙，追寻鸿雪访春婆
东涂西抹寻常有 万劫千生再见难
悲如歌泣 痴若神迷
党民雄程，玉局别开生面 国兴特色，勋猷独领风骚
十三五开局，金猴献瑞 万千家圆梦，紫燕催春
孙权嫁妹，配备 鸡肋传令，整修
当由字外寻风韵 莫向人间问白头
林下轻风摇月色 杯中好酒酿泉波
人对菱花花影俏 手调丝竹竹声幽
小蛇辞岁，好凭妙手描远景 骏马迎春，当是雄才唱大风
凤舞雀仪，蒙山沂水春晖满 龙腾虎啸，舜日尧天伟业兴
交友坦诚清水醉 为人正直菜根香
宝蕴资兴，韵满东江，孕育生机兴福运 花香安泽，祥临上党，翔腾瑞兆泽龙乡
联通通四海 宽带带千金
大江东去发流感 壮志未酬不罢休
纺就尧天千幅锦 织成禹甸万枝花
竹老庭前兼雪月 笋鲜盘上伴肥牛
木木并立林林秀 口口相连串串香
苦乐三生终白骨 辛劳一世落红尘
扬雄宅在惟乔木 潘令花繁贺板舆
处处桃花，何曾美梦 年年春色，今又清明
君子兰开君子笑 女儿红消女儿愁
香附木香香半夏 苦参丫苦苦将军
秋雨怒时霜叶遁 青锋指处恶神惊
想当年，四蹄双足作田间，虽辛犹乐 看今日，体弱骨松存世上，欲死还生
南国南天南风南海，南天一柱立南海 北疆北地北雪北京，北地万花香北京
潇潇落叶堆诗冢 默默飞花祭蝶魂
孙猴拔毛，鱼娘子代兄登擂 八戒分身，鳖郎君装妹对联
费无忌、长孙无忌，彼无忌此亦无忌 蔺相如、司马相如，名相如实不相如
敬其所尊，爱其所亲，是余以欲也 贫而无谄，富而无骄，夫我乃行之
正品观花难品足 光看结果没看头
司马精神当唱颂 人间孝悌大弘扬
有情图画堪传世 无字文章足傲人
时致薄少助祭祀 由来钝騃寡探寻
公仆请人撑雨伞 草民为主顶风霜
虎势壮雄威，昨岁成功今岁继 兔奔展箭步，寅年希望卯年丰
尝到蓬莱，称廿一科翰林前辈 重游泮水，携十三龄文学曾孙
万里青云合 三生碧草同
秋书巨画，皴涂尽显黄金色 夏写华章，论述全藏翡翠情
士气终归强者振 水平总是智人高
瑞雪映梅梅愈俏 春风梳柳柳尤娇
鹤随鸡共立 鸠与鹊争巢
载运千钧如虎跃 奔驰万里似龙腾
恶避其短，修整应似雪里送炭 善扬彼长，造型当如锦上添花
梦溪笔谈通天地 农政全书利庶民
儒释道三家，信仰不同皆爱国 藕莲花一脉，生成荷气共飘香
德以爱民，仁以爱民，亲民有若鱼和水 廉而为政，勤而为政，从政长兴国与家
守诚信，怀友善，才可快乐 爱国家，敬事业，方有平安
凭酒买之交狗友 以诚聚者免狐朋
洞 池
红霞染写夕阳下 暮鼓悠扬幽谷边
善政乐民怀，改革新猷开富域 良谋隆国运，安邦伟略震环球
迎盛世金猴献岁 贺新禧玉宇回春
开窗但看叶初绿 过路才知花已发
诗骨欲拼梅骨硬 这山还比那山高
一柳先舒凭水绿 百花齐放映山红
大步流星追月亮 小心放马任猴头
秋风漫舞催花落 汛水潮翻见月浮
粤海展鹏程，干群奋起千帆竞 遂溪开远景，经济腾飞百业兴
合规同月满 闻石辍棋看
一轮旭日峰扶出 多彩朝霞浪打飞
凝眸无限意 敛笑更含春
荷伞遮阳鱼作乐 金风送爽桂飘香
有诗何必酒 无欲不真人
两泪潸潸从此恨 一情杳杳自今遥
美满一生，年年添福寿 康宁万户，日日见鸿鑫
千里同心沙聚塔 九州纳福梦成真
东水马龙舒画卷 花香鸟语入诗篇
新岁雄师争破阵 神州快马再加鞭
发展声中迎旭日 和谐路上伴春风
拄杖寻梅客 循香觅酒家
血肉筑长城，八载抗倭炮火鸣，贼呈降表 中兴擂战鼓，七旬追梦神州奋，滇唱春风
我思古人，优游道艺 后有君子，涉猎中西
鸿图大展，赖虎爪点梅，刚递称心答卷 昆曲高扬，执兔毫写字，又书如意春天
清风与惠政对棚，春燕喝彩 古赵挽小康走秀，笑脸爆红
问松间明月，石上清泉，谁荡渔舟归浣女 说稻里丰年，枝头惊鹊，风擂蛙鼓和鸣蝉
粤北无双地 天南第一峰
秋色不外枫梧中 春风尽在杨柳间
雪品梅花韵 云裁柳絮风
风云着意书山水 梅竹无心争利名
是是非非，颠颠倒倒常常见 离离合合，摸摸偷偷日日闻
子弟是桃市旧班，自唱到罗家墩，顿觉精神加百倍 威灵乃汉室名臣，共称赞刘皇叔，更将忠义重千秋
酒奠晨昏，怎教儿一滴一泪 香焚朝夕，惟祝母如望如存
长烟落日孤城闭 金井梧桐秋叶黄
宋重九冠明日月，田心汗帝王种 李十八子张长弓，射寸身金玉人
千里云山何处好 十年书剑总堪怜
鱼所、肉所、麻将所，所内者甜，所外者苦 猪公、狗公、乌龟公，公道何在，公理何存
春风一路催花老 红叶几枚表意深
玉藏贵府多祥瑞 侠蕴孙君永太平
一亭尽览山中趣 幽室能观世外天
昨夜未开花等我 今朝将落月邀谁
廉为世上三春雨 信是人间二月花
孤馆深沉，花雨飘零无限事 长空静谧，云流散漫几生缘
九曲越千年，留下了红山遗事、圣地佛宗，未老涛声吟亘古 一川流万顷，展开来浩荡烟波、和谐生态，长清龙脉抱朝阳
富进千家家家喜 福驻万户户户春
新秀扶持，银屏新剧开新局 众芳林立，名著众星悦众心
天上四时春作首 人间五福寿为先
广告满天飞，连续剧何能连续 万家载道怨，开怀事反不开怀
虚怀涵高雅 大意失荆州
闭门自吸烟，何妨任意 隔岸遥观火，不忍于心
百树成林光棍夜 千丝编网渔翁心
意欲寻亲，可恨阴司无子路 情难睹面，只能梦里忆颜回
念生随意续联尾 兴起凭情出对头
春满九州沃野 福临万户小康
万木萧条，皆因积雪 群芳烂漫，只是喧春
啼破板桥霜夜月 踏平空道雨归钟
牛从东岳骑来，仁圣天齐尊大帝 虎在南娄坐定，武威神勇掌丰都
水底有天行日月 画中无地载山河
诫奢以俭，这疙瘩指定贼妙 好逸恶劳，啥时候都是白搭
魏武挥鞭，横扫千军如卷席 陈王奋起，无非一念救苍生
画境宏开，两岸琼楼拔地起 虹桥飞渡，一篙春水拍天流
奏庶艰食，煞费苦心，至死不忘怀，囊夹犹留遗稿在 聚首言欢，才过半月，施松今失荫，盘柯长剩茑萝悲
早点早点，早点早点早早点 常春常春，常春常春常常春
纸薄能承千古事 人微敢闯一言堂
今日扁舟空载月 几时青鸟可传书
鼠至天开，风调雨顺 人和地利，福伴春来
香草为君子 寒松揖大夫
聊古尤知浅 读书每慕贤
四海横流，华夏东西三万里 千山独立，巅峰南北一年秋
瑞雪飘飘，点缀寒梅枝上玉 和风习习，吹开杨柳叶中金
春风花屿酒 秋月竹枝歌
远行又见泪添酒 梦想能追吕洞宾
朝阳光照处 荣亲色养时
文明盛世昌千古 法治中国永万年
两袖清风尘不染 一身呆气自常夸
松影晚留风共坐 柳莺喜恋月同眠
三夏榴花盛，红映长江添秀色 九州梦境圆，气激众志展鸿猷
有花斜雪拟新句 减字添灯寄故人
衣带渐宽终不悔 为伊消得人憔悴
水云空阔，樯橹纷纭，最难忘公瑾屯兵，东坡怀古 千万豪雄，往来风物，都付与一蓑疏雨，两岸青峰
白石清溪堪漱枕 老鬼索命已出山
龙群拂霄上 鹿女踏花行
仁义礼智信 忠孝节德行
雷锋事迹传千里 钉子精神励万人
鱼生玉藕下 莺语落花中
凉风幽景留过客 鸟语花香送行人
雁落平沙惊古调 鹰歌绿柳啭从容
好书一卷迷昏晓 薄酒三杯忘是非
一壶饮罢云缠月 半卷翻光雾罩楼
未甘鬼子来登岛 刻日同时剩女优
千声妙尽神仙曲 一半春销风雨天
放任云烟江上走 但凭岁月手中流
学浅才疏多讨教 见博识广要谦虚
雾锁千峰藏牧鹤 浪平万里荡渔舟
咀嚼世态参三味 磨砺身心悟万情
有长吉母，无伯道儿，阅尽繁华成一瞬 抱曼倩才，具董狐笔，即论稗乘已千秋
百花吐艳，喜九州春色 万马争先，奔千里锦程
志扶汉室，威震华夏，忠义凛然参天地 痛失荆州，兵溃麦城，成败岂足论英雄
万古李白吟风月 千年柳永唱柔情
竹开霜后果 梅动雪前香
老气横秋心共老 青山立夏意更青
心色皆空成妙道 根尘俱彻证圆通
梦遣篱边月 心驰彼岸花
问谁娱我？有当头明月，盈袖清风，花雨一廊无尽藏 听鸟献歌，恰山列画屏，云遮绮梦，襟怀万里满囊诗
一身正气，贪泉入口化春水 两袖清风，竹叶代茶醉月光
扁舟载走玲珑月 柳渡迎来缱绻风
一纸流年书坎坷 三千白发证沧桑
惊慌数秒，仙台成炼狱 恐怖万分，海国似荒墟
龙祠有验常消祸 洪范垂谟永济民
无脚行天下 有箫隐夜深
极目武陵，十里峡谷开画卷 临风把笔，四时景光上诗笺
还将网络开通道 喜与和谐作港湾
赏善标模范 惩凶儆效尤
金猪献瑞吉祥岁 玉燕裁新秀丽春
雨过山头绿 云来地上阴
灵山环秀水 墨雨赋白荷
美景度良辰，迎四海佳媛光甲宅 琼筵腾喜气，聚五陵豪士醉名门
风经绝嶂回疏雨 蝶恋余香舞好枝
青山浮白雾 赤日朗苍穹
情窦初开羞答答 心花怒放喜洋洋
枫叶染红，几度秋风逼 芦花飞白，一时霜月寒
人到丑时狗不理 身临困境梦难圆
青天白日花草丽 阆苑瑶台岁月长
三代结台缘，矢志移风，岂空与利名？世事浮云资警醒 八和学德望，受勋此日，愿共培俊秀，艺舟香港澄扬波
声远名垂，凭一卷新诗三尺剑 云沉星陨，戴九州盛誉众口碑
爽气迎人，桐叶风飘金井露 清芬沁骨，梅梢月映玉壶冰
惹草拈花，巧取豪夺春入句 招风引蝶，轻言醉语月凭栏
势起龙蛇，盛会重谋兴国策 春回锦绣，中华再涌富民潮
翩翩浊世佳公子 落落清闺女丈夫
细瓷嫌少，大师风度 杯具恨多，赤子情怀
晓慧无双名誉世 婷聘轶众艺流芳
心若无情方可静 梦须有志始成真
人世几回伤往事 霓裳一曲在高楼
海水无风三尺浪 天空有雨万里云
家富人喜，须如流水 时言乐笑，穆若清风
月月逢旧雨 时时换新欢
景耀月 陈彩霞
小院温馨，欢声笑语大家乐 广场热闹，炫舞劲歌中国红
百年棋辙低徊遍 万卷书生飒爽来
蟠桃紫阙来金母 岭荔红尘进玉妃
春风又绿江南岸 旭日复红塞北花
梅兰香笔底 酒肉爽舌头
冬索春敷，胜日寻芳，枝头非是故年秀 莺欢鹊喜，娇声觉腻，檐下欣闻旧燕鸣
细数窗前花瓣雨 欣迎路上酒旗风
落砚梅香堪醉墨 入唇菊酒可消灾
高低适异形，莫对湖山论贵溅 举措无惭德，便堪陆地作神仙
顿悟三餐饕餮口 陡生万丈栋梁心
掬月动诗心，浣花撷景千层韵 临湖开画本，泼墨倾情一棹烟
隐约微疼，曾经腕上系绳处 恍然一梦，又是门前插艾时
一世良缘歌大喜 百年好合结新婚
端午粽香，闻香怀念爱国士 清明柳绿，赏绿感恩植树人
清风生绿韵 白月醉江流
行此四德 弼予一人
风吹稻麦舞金浪 日照棉麻闪玉光
收网归来哼小调 邀朋聚拢喝高粱
孜孜园丁做奉献 盈盈汗水育新苗
竹风醒晚醉 帘月度斜辉
创新织锦，欣百业兴隆黄浦腾紫气 融合飞歌，喜千花烂漫西门沐春光
大漠云雄，两弹爆强音，五洲瞩目腾龙日 长空乐壮，一星驰俊彩，四海扬眉揽月时
校园雏燕迷高树 联海新舟竞上游
花月其时，卿云南国生红豆 芳辰当日，我指北方有佳人
似明实晦，每下征人心底泪 举重若轻，常为稚子口中吟
曾经名盛都归酒 而后余闲独看云
相思画尽梅间雪 缱绻凝成梦里花
赤面秉赤心，骑赤免追风，驰骋时无忘赤帝 青灯观青史，仗青龙偃月，隐微处不愧青天
竹溪多怪士 乐道实奇才
梨花满地连云扫 野鹤无声带月归
建肯不仕 璟知非娠
梦共花都同浪漫 湖如玉镜正衣冠
时令绝品莲心雨 季节佳肴藕粉羹
春花似海，占尽一川秀色景 秋果如霞，迎来万里畅游人
棋在手输赢未定 纸张文雅俗能分
一派自然浑似画 千川不尽宛如烟
诗兴难穷花草外 兰亭不在管弦中
湖南入贵州，两省风光异趣 绝地存苗寨，千山秀色同辉
千诗不抵相思债 一曲堪酬知己人
万古长存诚与信 丰年喜获寿和康
三祖恩波，浩荡九州史海 一园盛象，和融百族民心
梧桐院落花千树 杨柳池塘月一楼
美丽家园，把脏乱清除，琼楼华屋迎春至 昌隆事业，将辉煌铺就，绿水青山载福来
雨霁山争出 泥干路渐通
礼貌待人诚有道 典章明世贵无言
避过清风云戏月 藏于细雨雾遮星
桂花香伴八千日 爱侣情随一万年
解难题、促转变、上水平，推动天津新跨越 乘虎势、进兔年、奔阔步，更赢经济大腾飞
一梦入芦溪，茶梦欣追中国梦 三春新古树，尧春长荫粤佳春
策马踏青春四溅 扬鞭赶月斗齐惊
峰远近 路横斜
郑知县，描竹临傲骨 吴衣带，当风变花头
寄身如客 指月证心
桃花细逐杨花落 山色初明水色新
打草藁用全力 说闲话无慢心
江山似画年年画 岁月如歌处处歌
脸上年轮刻 心中阅历铭
秋阴尚晴好 苔色渐幽微
菊径拾来秋一袖 兰舟载去月千江
春色闲庭满 琴声陋室盈
石奇神鬼搏 木怪虎狼蹲
写文化景观篇，南岳纵毫篇似锦 唱旅游经贸戏，东城开幕戏连台
状元折桂，博士攻关，千年古县文风盛 子位吹歌，定瓷焕彩，一座名城底蕴深
兵醉酉时池甲失 足扭丑日健康远
卧柳眠花成野汉 厚今薄古扮名流
一径香寒邀月赏 满堂花醉待君归
山溪水韵流行曲 雨瀑雷鸣共放歌
不在人前输气质 但于心底塑节操
袋鼓黎民乐 粮丰社稷安
天道酬勤 宁静致远
无忧烈日书消暑 更喜寒潭鹤絜身
扬州曲艺，日日评书开水浒 淮海文娱，朝朝荧幕放聊斋
石因形胜，造化雕成人世界，最爱将军骨健 山以景奇，天然染就画乾坤，尤钟大壑枫红
水回青嶂合 月涌大江流
枫叶秋容美 菊花晚节香
沐和风，湿地温馨鹅鹜梦 迎丽日，草场豪放马羊歌
江山增锦绣 社会要和谐
当门等个人来，望穿眼孔 此地能同我坐，练定性梧
报国兴邦，弘扬大爱精神美 凝心聚力，奉献真诚价值新
徽风徽韵徽腔徽调，燕舞百千门，迎春挂福 皖水皖山皖地皖天，马驰三万里，追梦扬歌
汤阴先去 滦阳后生
拔剑平四海 横戈却万夫
坚持买彩，充满期待 奉献爱心，手留余香
绝顶聪明，执迷不悟 终身豁达，随遇而安
往昔卢沟月朗，八年驱虎豹 今朝永定河清，百里走龙蛇
四宝汇文房，纸笔墨砚 群贤参国政，工农军商
花下长眠安乐死 生前痛饮爽歪活
山鹊 水凫
党共民心暖 家随国韵红
立身当以书为敬 养性但凭笔可嘉
留名只在湖山处 悟道当寻水月间
铜鼓惊天，耳际犹闻虎啸 霹雷动地，眼前喜见龙腾
竹荫扫阶尘不动 月光穿沼水无痕
九曲溪流武夷醉 八公山座草木威
朱楼映日重重晚 嫩叶如眉处处新
金剪剪窗花：金龙报喜 玉雕雕扇坠：玉兔送福
不待春风梅早谢 望至秋雨稻方熟
醉墨龙蛇舞 谈论淮湖奔
凤舞春常在 国呈龙虎姿
勿叹风云无好伴 从来日月是芳邻
路随人远心灯照 雨过天晴墙草摇
舍弟江南殁 家兄塞北亡
大围绽杜鹃，走红世界 浏水融生态，染绿春风
进不趋要路 吟应见古魂
能当浊世为清世 自向无声认有声
三生修得同楼住 四海从来一脉亲
几丈墙横万里江，莫道回澜小 百年人为三餐饭，何须耗日多
竹海生风松煮日 莲湖映月桂栖霞
科研掌舵前程远 发展扬帆后劲增
一池碧水春光泄 两岸桃花鸟语喧
当家作主民心畅 廉洁奉公名望高
一路平安追远梦 八方顺畅沐春风
山中藏古寺 门外尽劳人
白石生金，九涯珠宝藏地脉 兰田种玉，万顷琉璃荡天光
三生宏愿，花季喜酬，自此飘萍终有主 一世良缘，温情无间，从今尺素不须鱼
堤柳欲眠莺唤起 山花乍落燕衔来
山岭蜿蜒，林水丰盈，当推铜鼓县 民风淳朴，乡亲和善，最数客家人
九畴画韵，万寨诗声，文化丰都春百里 一派生机，十分喜气，和谐热土景千重
抱佛脚时心已怯 知缘由后气全消
畚雪填井 顺水推船
宜夏宜冬，无思不服 匪饥匪渴，式食庶几
非威德圆通，不能护法 有佛缘定力，方可生莲
一呼云自舟头落 三拜仙由月里来
笔端不尽温情雨 心底无穷雅韵风
歌燃情岁月，五旬铸辉煌，回眸倍感风云壮 赞流韵河山，千里铺锦绣，放眼当惊宁夏殊
藏书善读医愚性 铁砚常磨忘俗情
贞资不可杂 神物自归空
一时笑语烘春，香莲烛下匀丹雪 云观登临清夏，杨柳阴中驻彩旌
下为河岳、上为日星，崖山千古，文山千古 孔曰成仁、孟曰取义，相国一人，信国一人
遵海而南，杯渡情依中国土 高山仰止，韩公名重异邦人
枫叶经秋霜泪染 菊花映日蕊香浓
佐酒诗书真有味 探花题句亦无聊
蓝天为锦，挥毫着彩他时梦 绿水弄弦，理瑟推杯那月闲
不饮江湖焉识醉 饱经风雨已无惊
落花无主随风散 流水有情伴客行
姬源芈源少昊源，源生国邑 括笔约笔雁冰笔，笔有春秋
撩人雪韵梅先醉 骚客流丹笔下花
创名牌，求真优，状元及第 讲信誉，树新风，顾客盈门
岁长是兄，先来是兄，学博是兄，当然要论 月明如诗，秋晚如诗，风流如诗，何故无情
作古文当有生气 遇贤者自无妄言
不如心有千秋景 即使花无百日红
百花斗艳 五子登科
詹天佑 蔡元培
慕君商海纵横，花贺生辰添鹤算 因我家山迢递，心随风信到芸窗
老人休卖老 憨子不知憨
沽酒江村舟未系 寻幽古寺月当头
云空鹤唳千山响 风谷蝉鸣四野回
海市绕祥云，半岛有涯皆锦绣 滨城迎圣火，长街无处不欢腾
山云偃深树 潭月明崇轩
心语诗联藏雅韵 黄莺紫燕闹清幽
月色一篱筛静谧 竹荫半晌种清凉
颂党恩，瑞日祥云遍宇宙 赞改革，春风和气满乾坤
太古自然法 平常老实人
花深远岸黄莺闹 草长平湖白鹭飞
孟母三迁培亚圣 毛公万古展宏图
福娃送雨，道德生根，和谐培土花茂盛 奥运加油，文明提速，规矩端行路畅通
即便重头，彼情彼景难如是 尚存碎片，或少或多聊胜无
闲来静品清风集 兴到怡吟正气歌
马甲雄骑迎胜利 羊羹美酒庆丰收
墨雨秋光霜喜净 蒙胧竹韵不忘川
迎来海外三千履 望尽齐州九点烟
此中只许鸾凤宿 其上应有蛟龙蟠
砚池又蓄三分月 诗卷未耽一叶春
窗前翠竹补诗漏 卷底素梅衬画锋
空街默数风翻叶 水榭闲观雨打萍
善者不求人无错 明君常引子弃邪
春城花香万千锦 蜂鸣鸟啼放歌声
官若欺心民受罪 学如丧志自为难
竹径醉邀明月住 柴门虚待白云归
天途尤危险 蜀道更困难
石狮市实施四十事，事事是实事 采彩材踩睬裁菜财，财财才踩财
半窗月印梅影瘦 一榻香凝晓梦酣
短棹离幽浦 孤帆触远烟
望重陈思才八斗 名高太白酒千钟
五泉山色云飞翠 九寨桃花水漾红
卒然天立镇中流 雄跨东南二百州
旭日耀天津，沿富道千条，铺开梦想 巨轮出渤海，扬高帆一片，载满春风
水乳融合真朋友 骨肉相连好弟兄
一湾绿水渔村小 万里青山寺庙幽
春风得意百花笑 网络痴心一世留
笔秃风骨浅 文隽气节高
春起草，秋杀青，几度文章岁月 夏开花，冬葬红，千年寂寞人生
好友同行何路远 佳人独处故闺深
耳目一新，玉成画景情濡笔 风光百媚，带似诗行韵若河
三虹吸水，这边风光独好 四世同堂，梅邑礼仪周全
月泣卢沟，万里河山铭碧血 花开芷水，八年烽火捣黄龙
正能量，促和谐世界 反物质，还日美原形
大风歌妙曲 小雅著新诗
壮志不因须发白 雄心更比夕阳红
风起楼台谁得势 雾沉山麓月迷踪
为富不仁终破败 替天行道显威严
岁至炊斋随手艺 春来落笔任心情
秋深不见乡情老 夜静空余往事长
国旗红艳艳，五星拱照九州伟 庆典盛隆隆，万众同欢四化兴
通今博古琼琳谱 天地人文璇玑图
云烟锁定江边柳 水月流连池里荷
岭上梅花香五里 墓前明月照三更
同甫中兴论，湖州治事斋，异代相望，惟先生克宏绍述 秋风南海园，暮雨华冈路，九原不作，使多士顿失瞻依
